course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts
HarvardX/CS50x/2012,MHxPC130288921,1,0,0,0,Unknown/Other,Bachelor's,1988.0,m,8/30/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130043703,1,1,1,1,India,Doctorate,1970.0,m,9/4/12,1/16/13,2550.0,21.0,10.0,14.0,0
HarvardX/CS50x/2012,MHxPC130082773,1,1,0,0,United States,Master's,1983.0,m,2/12/13,2/12/13,10.0,1.0,0.0,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130186614,1,1,1,1,Other Africa,Bachelor's,1984.0,m,10/16/12,1/15/13,6015.0,50.0,616.0,15.0,0
HarvardX/CS50x/2012,MHxPC130113075,1,1,0,0,United States,Secondary,1997.0,m,4/11/13,4/12/13,6.0,2.0,0.0,1.0,0
HarvardX/PH207x/2012_Fall,MHxPC130346616,1,1,0,0,United States,Bachelor's,1984.0,f,10/17/12,10/22/12,296.0,2.0,83.0,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130257409,1,0,0,0,Other Europe,Master's,1983.0,f,7/13/13,7/13/13,1.0,1.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130271811,1,0,0,0,Pakistan,Secondary,1994.0,m,2/11/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130587529,1,1,0,0,Other Africa,Bachelor's,1988.0,m,12/5/12,3/11/13,1.0,1.0,0.0,4.0,0
HarvardX/PH278x/2013_Spring,MHxPC130224071,1,1,1,1,Indonesia,Bachelor's,1988.0,f,5/21/13,8/19/13,752.0,12.0,1.0,6.0,0
HarvardX/ER22x/2013_Spring,MHxPC130090660,1,1,1,1,United States,Secondary,1992.0,f,6/5/13,7/29/13,1207.0,13.0,0.0,28.0,0
HarvardX/PH278x/2013_Spring,MHxPC130220734,1,1,1,1,United States,Master's,1982.0,f,3/24/13,8/26/13,1895.0,29.0,199.0,7.0,0
HarvardX/ER22x/2013_Spring,MHxPC130066794,1,1,0,0,United States,Secondary,1995.0,f,7/11/13,7/12/13,33.0,2.0,0.0,3.0,0
HarvardX/CS50x/2012,MHxPC130207224,1,0,0,0,Unknown/Other,Bachelor's,1984.0,m,9/12/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130200681,1,0,0,0,Unknown/Other,Bachelor's,1991.0,f,10/5/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/PH278x/2013_Spring,MHxPC130562465,1,0,0,0,India,Bachelor's,1987.0,f,5/15/13,5/15/13,1.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130335601,1,1,1,0,United States,Bachelor's,1987.0,m,9/28/12,4/9/13,6.0,1.0,0.0,9.0,0
HarvardX/ER22x/2013_Spring,MHxPC130330304,1,0,0,0,Other South America,Master's,1988.0,m,1/28/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130258508,1,0,0,0,Germany,Master's,1986.0,f,2/20/13,2/20/13,2.0,1.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130034351,1,1,1,1,Other Europe,Bachelor's,1980.0,f,8/16/12,6/27/13,49.0,22.0,0.0,12.0,0
HarvardX/CS50x/2012,MHxPC130132566,1,1,1,1,Other South Asia,Secondary,1993.0,m,10/14/12,6/16/13,266.0,63.0,0.0,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130074832,1,1,1,1,India,Master's,1977.0,m,8/30/12,7/27/13,2819.0,42.0,46.0,15.0,0
HarvardX/CB22x/2013_Spring,MHxPC130339497,1,0,0,0,Unknown/Other,Master's,1984.0,m,2/14/13,11/17/13,0.0,0.0,0.0,0.0,0
HarvardX/CB22x/2013_Spring,MHxPC130422462,1,1,1,1,Brazil,Bachelor's,1989.0,f,6/28/13,8/29/13,1652.0,8.0,0.0,25.0,0
HarvardX/PH207x/2012_Fall,MHxPC130203527,1,1,1,1,United Kingdom,Master's,1980.0,m,11/10/12,2/14/13,2607.0,43.0,161.0,15.0,0
HarvardX/CS50x/2012,MHxPC130194291,1,1,0,0,United States,Bachelor's,1970.0,m,6/6/13,7/11/13,38.0,7.0,0.0,6.0,0
HarvardX/PH207x/2012_Fall,MHxPC130011379,1,1,0,0,India,Master's,1985.0,m,11/11/12,11/19/12,36.0,2.0,8.0,2.0,0
HarvardX/CS50x/2012,MHxPC130186664,1,1,1,1,India,Master's,1989.0,m,9/3/12,5/30/13,42.0,17.0,0.0,12.0,0
HarvardX/CS50x/2012,MHxPC130044919,1,1,1,1,United States,Less than Secondary,1998.0,m,8/21/12,5/11/13,533.0,51.0,0.0,12.0,0
HarvardX/CB22x/2013_Spring,MHxPC130228900,1,1,0,0,United Kingdom,Bachelor's,1986.0,m,4/28/13,9/5/13,113.0,14.0,0.0,4.0,0
HarvardX/CB22x/2013_Spring,MHxPC130420273,1,0,0,0,Unknown/Other,Bachelor's,1971.0,m,12/20/12,11/17/13,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130187774,1,1,1,1,United Kingdom,Master's,1985.0,m,10/15/12,5/8/13,81.0,24.0,0.0,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130531621,1,1,0,0,Other South Asia,Bachelor's,1985.0,f,11/2/12,3/1/13,1124.0,11.0,371.0,4.0,0
HarvardX/CS50x/2012,MHxPC130018149,1,1,1,1,United States,unk,-1.0,unk,8/22/12,5/6/13,251.0,39.0,0.0,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130172224,1,1,1,1,United Kingdom,Bachelor's,1988.0,m,2/22/13,7/26/13,2538.0,56.0,0.0,32.0,0
HarvardX/PH278x/2013_Spring,MHxPC130111990,1,1,0,0,United Kingdom,Master's,1984.0,m,5/5/13,6/13/13,1076.0,11.0,186.0,5.0,0
HarvardX/PH207x/2012_Fall,MHxPC130330070,1,1,1,1,India,Master's,1970.0,m,11/5/12,1/13/13,1612.0,11.0,4.0,13.0,0
HarvardX/CS50x/2012,MHxPC130352785,1,1,0,0,United States,Master's,1980.0,m,7/27/13,7/30/13,32.0,4.0,0.0,2.0,0
HarvardX/PH207x/2012_Fall,MHxPC130271323,1,1,1,1,India,Secondary,1992.0,f,10/12/12,1/19/13,3075.0,19.0,118.0,13.0,0
HarvardX/CS50x/2012,MHxPC130131796,1,1,0,0,Germany,Bachelor's,1984.0,m,2/14/13,3/11/13,62.0,7.0,0.0,4.0,0
HarvardX/ER22x/2013_Spring,MHxPC130444071,1,1,1,1,United States,Less than Secondary,1997.0,m,4/14/13,8/18/13,2480.0,29.0,0.0,34.0,0
HarvardX/ER22x/2013_Spring,MHxPC130143302,1,0,0,0,Unknown/Other,Bachelor's,1971.0,m,1/23/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130384585,1,1,0,0,Other Europe,Master's,1978.0,m,8/16/12,5/24/13,4.0,1.0,0.0,1.0,0
HarvardX/PH278x/2013_Spring,MHxPC130486990,1,0,0,0,Other Europe,Secondary,1990.0,f,2/5/13,unk,0.0,0.0,0.0,0.0,0
HarvardX/CS50x/2012,MHxPC130163385,1,0,0,0,United States,Master's,1983.0,m,8/16/12,unk,0.0,0.0,0.0,0.0,0
HarvardX/ER22x/2013_Spring,MHxPC130581421,1,1,1,1,United States,Secondary,1993.0,m,6/2/13,8/7/13,1214.0,17.0,0.0,32.0,0
HarvardX/ER22x/2013_Spring,MHxPC130422522,1,1,1,1,Brazil,Bachelor's,1981.0,m,4/1/13,8/27/13,2261.0,38.0,0.0,33.0,0
HarvardX/PH207x/2012_Fall,MHxPC130491683,1,0,0,0,United Kingdom,Secondary,1988.0,m,12/14/12,12/15/12,1.0,1.0,0.0,0.0,0
HarvardX/PH278x/2013_Spring,MHxPC130464020,1,1,1,1,Other Middle East/Central Asia,Master's,1987.0,m,12/29/12,6/15/13,627.0,4.0,6.0,6.0,0
HarvardX/PH207x/2012_Fall,MHxPC130401413,1,0,0,0,Other Europe,Doctorate,1973.0,m,10/10/12,10/16/12,2.0,2.0,0.0,0.0,0
HarvardX/PH207x/2012_Fall,MHxPC130356699,1,1,1,1,Greece,Master's,1986.0,f,10/7/12,7/29/13,15961.0,67.0,3893.0,15.0,0
HarvardX/ER22x/2013_Spring,MHxPC130496499,1,1,1,1,Germany,Master's,1963.0,m,12/29/12,8/15/13,1399.0,39.0,0.0,32.0,0
